company,type,rec_details,job details,city,skills,details,job_link,posted_time,posted_date,experience in int,actively_hiring/hiring
Cloud Counselage Pvt. Ltd.,Regular,Recruiter DetailsCloud Counselage Pvt. Ltd.Other Maharashtrahidden_emailhidden_mobile,"As a Junior Data Analyst, you will play a crucial role in supporting the analysis, interpretation, and visualization of data to extract actionable insights. You will work closely with senior analysts and stakeholders to gather requirements, perform data cleansing and transformation, and generate reports and dashboards that inform business decisions. This role offers an exciting opportunity to develop your skills in data analysis, gain exposure to diverse datasets and tools, and contribute to meaningful projects that drive business growth.

Responsibilities
 Collaborate with stakeholders to gather and understand data requirements, objectives, and success criteria
 Perform data cleansing, validation, and transformation to ensure accuracy and consistency of datasets
 Conduct exploratory data analysis to identify trends, patterns, and outliers using statistical and visualization techniques
 Assist in the development of reports, dashboards, and data visualizations to communicate. findings and insights effectively
 Support ad-hoc data analysis requests, providing timely and accurate responses to meet business needs
 Document data analysis processes, methodologies, and findings to support knowledge sharing and future reference
 Stay current with industry trends, tools, and best practices in data analysis and visualization

Mandatory Requirements
 Bachelor's degree in Data Science, Statistics, Computer Science, Economics, or related field
 Proficiency in data analysis tools and languages such as Excel, SQL, Python, R, or similar

Preferred Requirements

Familiarity with data visualization tools such as Tableau, Power BI, or Google Data Studio

Qualities
 Strong analytical skills and attention to detail, with the ability to interpret and manipulate complex datasets
 Excellent communication and collaboration abilities, with the ability to work effectively in a team environment
 Ability to prioritize tasks, manage workload, and meet deadlines in a fast-paced environment
 Eagerness to learn and develop new skills in data analysis and visualization

Benefits
 Competitive salary and benefits package
 Opportunities for professional development and career advancement
 Exposure to diverse datasets and tools in a collaborative work environment
 Flexible work hours and remote work options
 Dynamic and inclusive company culture with regular team-building activities

Location: Onsite, Remote, Hybrid,",Other Maharashtra,"Data Analysis,Data Cleansing,Data Transformation,Data Visualization,Statistical Analysis,Excel,SQL,Python,R,Tableau,Power BI,Google Data Studio",Recruiter DetailsCloud Counselage Pvt. Ltd.Other Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/jr-data-analyst-permanent/cloud-counselage-pvt-ltd/14612634,Hot0 days ago,2024-03-31,"(0, 4)",Actively hiring
Volvo Group,Regular,Recruiter DetailsVolvo GroupOther Karnatakahidden_emailhidden_mobile,"Transport is at the core of modern society. Imagine using your expertise to shape sustainable transport solutions for the future  If you seek to make a difference on a global scale, working with next-gen technologies and the sharpest collaborative teams, then we could be a perfect match.

About This Program

Objective: To apply rich knowledge and research mindset and empower them to build rewarding and satisfying careers in the fields of transport and infrastructure.

Structure: Paid program of nine-month duration

Eligibility: PhD Scholars registered with any university in India or abroad in a relevant academic discipline, currently employed or doing projects in specifically identified areas (Currently pursuing PhD).

Place of Work: Bangalore

About The Function

Electro-mobility is one of the focus areas within Volvo Group, which is at the forefront of sustainable transport solutions for tomorrow. Also, we are providing world-class solutions for electro-mobility systems and. delivering customer values for Volvo business units such as trucks, buses, construction equipment and marine applications.

We at EMOB Data Analytics team focus on data driven development and look to create opportunities for services.

You will have close cross-functional collaboration with colleagues from different parts of Technology Organization. You along with the team will be responsible for understanding customer usage and performance of our products and for providing solutions throughout the entire product life cycle.

Who are you 

We believe that to be successful in the position, you are a team player, have strong understanding in Data Science and proficient in Electro-mobility systems.

You have great appetite for learning and adding value, with high level ownership.

You are highly skilled in tools like Power BI, SQL and Python.

We value your data privacy and therefore do not accept applications via mail.

Who We Are And What We Believe In

Our focus on Inclusion, Diversity, and Equity allows each of us the opportunity to bring our full authentic self to work and thrive by providing a safe and supportive environment, free of harassment and discrimination. We are committed to removing the barriers to entry, which is why we ask that even if you feel you may not meet every qualification on the job description, please apply and let us decide.

Applying to this job offers you the opportunity to join Volvo Group. Every day, across the globe, our trucks, buses, engines, construction equipment, financial services, and solutions make modern life possible. We are almost 100,000 people empowered to shape the future landscape of efficient, safe and sustainable transport solutions. Fulfilling our mission creates countless career opportunities for talents with sharp minds and passion across the groups leading brands and entities.

Group Trucks Technology are seeking talents to help design sustainable transportation solutions for the future. As part of our team, youll help us by engineering exciting next-gen technologies and contribute to projects that determine new, sustainable solutions. Bring your love of developing systems, working collaboratively, and your advanced skills to a place where you can make an impact. Join our design shift that leaves society in good shape for the next generation,",Other Karnataka,"Data Science,Power BI,SQL,Python,Electromobility systems",Recruiter DetailsVolvo GroupOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/phd-research-scholar-emob-data-analyst-permanent/volvo-group/14558414,6 days ago,2024-03-25,"(0, 4)",hiring
Digistall - Your Gateway to E-Commerce,Regular,Recruiter DetailsDigistall - Your Gateway to E-CommerceAll Indiahidden_emailhidden_mobile,"Role Description

This is a remote internship role for a Data Analyst at Digistall - Your Gateway to E-Commerce. As a Data Analyst, you will be responsible for analyzing and interpreting data to help drive data-informed decision making. You will be working with large datasets, creating data models, and providing insights and recommendations based on your analysis. This internship will provide valuable hands-on experience in the field of data analytics and e-commerce.

Qualifications
 Analytical Skills, Data Analytics, and Statistics
 Strong communication skills
 Data Modeling
 Ability to work independently and remotely
 Experience with e-commerce or retail data is a plus
 Proficiency in SQL, Python, or other programming languages
 Knowledge of data visualization tools such as Tableau or Power BI
 Bachelor's degree in a relevant field (e.g., Data Science, Statistics, Mathematics),",All India,"Analytical Skills,Data Analytics,Statistics,Data Modeling,SQL,Python,Programming Languages,Tableau,Power BI,Data Visualization Tools",Recruiter DetailsDigistall - Your Gateway to E-CommerceAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/digistall-your-gateway-to-e-commerce/14570508,3 days ago,2024-03-28,"(0, 4)",hiring
INFOC,Regular,Recruiter DetailsINFOCOther Tamil Naduhidden_emailhidden_mobile,"We are seeking a highly motivated and analytical-minded individual to join our team as a Data Analyst Trainee. This position is an excellent opportunity for those who are passionate about data and eager to learn and apply data analysis techniques to solve real-world problems. As a trainee, you will work closely with our experienced data analysts and data scientists to collect, analyze, and interpret large datasets, helping to drive decision-making and contribute to the success of our projects.

Key Responsibilities
 Assist in collecting and analyzing data from various sources, including databases, spreadsheets, and external datasets.
 Support the team in maintaining databases and ensuring data quality and integrity.
 Participate in the development and implementation of data models and algorithms.
 Contribute to the creation of visualizations and reports to communicate findings and insights to stakeholders.
 Collaborate with cross-functional teams to understand data needs and. deliver actionable insights.
 Engage in training and development opportunities to enhance data analysis skills and knowledge.
Qualifications
 Currently pursuing or recently completed a degree in Data Science, Computer Science, Statistics, Mathematics, or a related field.
 Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
 Basic understanding of data analysis tools and software (e.g., SQL, Python/R, Excel).
 Familiarity with data visualization tools (e.g., Tableau, Power BI) is a plus.
 Excellent problem-solving skills and the ability to work in a team environment.
 Strong communication skills, both written and verbal.
What We Offer
 A comprehensive traineeship program with hands-on experience in data analysis and the opportunity to work on real projects.
 Mentorship from experienced professionals in the field.
 Opportunities for professional development and training.
 A collaborative and supportive work environment.

How to Apply

Please submit your resume and a cover letter outlining your interest in the data analyst traineeship and what you hope to achieve during your time with INFOC.

https://www.infoc.com/company/careers/traineeship,",Other Tamil Nadu+1Tiruchirappalli,"Data Analysis,Data Collection,Data Interpretation,Database Management,Data Modeling,Algorithm Development,Data Visualization,SQL,Python,R,Excel,Tableau,Power BI,Communication,Problemsolving",Recruiter DetailsINFOCOther Tamil Naduhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-traineeshiplocation-trichy-permanent/infoc/14553595,Hot1 day ago,2024-03-30,"(0, 4)",Actively hiring
iDataLytics,Regular,Recruiter DetailsiDataLyticsKochihidden_emailhidden_mobile,"Job Title: Data Analytics Intern

Location: Infopark Phase 2, Kakkanad, Kerala 682303

Duration: 3 MONTHS

About Us:
iDatalytics is a forward-thinking IT company . We are looking for a motivated and detail-oriented Data Analytics Intern to join our dynamic team. This internship provides a hands-on learning experience in the field of data analytics and an opportunity to contribute to impactful projects.

What You'll Gain:
- Hands-on experience in real-world data analysis projects.
- Exposure to cutting-edge data analytics tools and techniques.
- Mentorship from experienced data professionals.
- Networking opportunities within the data analytics community.
- Potential for future career opportunities based on performance and company needs.

contact: hidden_mobile

Job Type: Internship

Contract length: 3 months

Salary: 1,000.00 - 10,000.00 per month

Schedule:
 Day shift
 Monday to Friday
 Morning shift/afternoon shift

Ability to commute/relocate:
 Ernakulam, Kerala: Reliably. commute or planning to relocate before starting work (Required)

Experience:
 total work: 0 year (Preferred)

Speak with the employer +91 hidden_mobile

Expected Start Date: 01/11/2023

Job Type: Internship
Contract length: 3 months

Salary: From 1,000.00 per month

Schedule:
 Day shift

Work Location: In person

Expected Start Date: 10/04/2024,",Kochi+1Other Kerala,"Data Analytics,Networking,Realworld Data Analysis,Cuttingedge Data Analytics Tools,Data Professionals,Data Analytics Community",Recruiter DetailsiDataLyticsKochihidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-intern-permanent/idatalytics/14562362,5 days ago,2024-03-26,"(0, 4)",hiring
Infininza Innovations,Regular,Recruiter DetailsInfininza InnovationsAll Indiahidden_emailhidden_mobile,"Job Title: Data Analyst Intern

Company: Infininza Innovations

Location: Remote

Duration: 6 Months

About Us:

Infininza delivers high-end IT solutions to businesses. We offer best class web And App solutions for your business that helps you to succeed in your ventures.

Responsibilities:

- Collect, clean, and analyze data remotely.

- Generate reports and dashboards.

- Identify trends and patterns.

- Collaborate with teams virtually.

- Assist in data pipeline development.

Requirements:

- Enrolled in a relevant degree program.

- Strong analytical and programming skills.

- Proficient in SQL and data visualization.

- Excellent communication and teamwork.

Preferred Qualifications:

- Previous data analysis experience.

- Knowledge of machine learning.

- Familiarity with big data technologies.

Benefits:

- Hands-on remote experience.

- Mentorship and professional development.

- Flexible schedule.

- Competitive compensation or academic credit.

Infininza Innovations is an. equal opportunity employer.

Feel free to tweak this according to your specific preferences and requirements,",All India,"SQL,Data Visualization,Analytical Skills,Communication,Teamwork,Programming Skills",Recruiter DetailsInfininza InnovationsAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/infininza-innovations/14591881,Hot1 day ago,2024-03-30,"(0, 4)",Actively hiring
Datametrics Technologies,Regular,Recruiter DetailsDatametrics TechnologiesAll Indiahidden_emailhidden_mobile,"Response Informatics is looking for Data Analyst to join our dynamic team and embark on a rewarding career journey.
 Managing master data, including creation, updates, and deletion.
 Managing users and user roles.
 Provide quality assurance of imported data, working with quality assurance analysts if necessary.
 Commissioning and decommissioning of data sets.
 Processing confidential data and information according to guidelines.
 Helping develop reports and analysis.
 Managing and designing the reporting environment, including data sources, security, and metadata.
 Supporting the data warehouse in identifying and revising reporting requirements.
 Supporting initiatives for data integrity and normalization.
 Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
 Generating reports from single or multiple systems.
 Troubleshooting the reporting database environment and reports.
 Evaluating changes and updates to. source production systems.
 Training end-users on new reports and dashboards.
 Providing technical expertise in data storage structures, data mining, and data cleansing.

Essential Duties And Responsibilities
 Preparation of key lead to conversion funnel reports with relevant cuts
 Preparation of relevant reports for each marketing channel
 Monitor daily trends and identify gaps or indicators which can help team to take corrective actions in advance
 Ad-hoc data analysis to identify root causes for case to case basis. Preparation of one-time reports, data consolidation etc. as and when required.
 Cost & Performance optimization between various communication channels/lead gen channels
 Combine offline and online data to get a complete view and generate useful insights

Impact analysis of various events like print/tv ads, various experiments on website/app/other channels etc.

Skills: data,preparation,reporting,case,quality assurance,ad-hoc,analytics,app,cleansing,python,sql,excel,",All India,"data,preparation,reporting,case,quality assurance,analytics,cleansing,python,sql,excel,adhoc,app",Recruiter DetailsDatametrics TechnologiesAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/fresher-data-analyst-analytics-upto-5lpa-permanent/datametrics-technologies/14538798,1 week ago,2024-03-30,"(0, 4)",hiring
Magic Infomedia,Regular,Recruiter DetailsMagic InfomediaAll Indiahidden_emailhidden_mobile,"Data Analyst

Job Types: Full-time, Permanent

Delhi, India

We are hiring a talented Data Analyst professional to join our team. If youre excited to be part of a winning team, Magic Infomedia is a great place to grow your career. You will be glad you make the right choice to join us.,",All India,"Data analysis,Statistical analysis,Data visualization,Database management,Critical thinking,Strong analytical skills,Problemsolving,Attention to detail",Recruiter DetailsMagic InfomediaAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/magic-infomedia/14585268,Hot2 days ago,2024-03-29,"(0, 4)",Actively hiring
MAANG,Regular,Recruiter DetailsMAANGAll Indiahidden_emailhidden_mobile,"Role Description

This is a full-time remote role for a Data Analyst at MAANG. The Data Analyst will be responsible for performing data analysis and interpretation, utilizing statistical tools and techniques to uncover insights and trends. The role will involve data modeling, developing and maintaining databases, and communicating findings to stakeholders.

Qualifications
 Analytical Skills, Data Analytics, Statistics
 Strong communication skills
 Data modeling experience
 Ability to work independently and remotely
 Attention to detail and problem-solving abilities
 Experience with data visualization tools is a plus
 Bachelor's degree in a related field (e.g., Mathematics, Statistics, Computer Science),",All India,"Analytical Skills,Data Analytics,Statistics,Data modeling,Database management,Communication skills,Data visualization,Problemsolving",Recruiter DetailsMAANGAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/maang/14562494,Hot3 days ago,2024-03-28,"(0, 4)",Actively hiring
eNest Technologies Pvt Ltd,Regular,Recruiter DetailseNest Technologies Pvt LtdOther Punjabhidden_emailhidden_mobile,"Industry

Research & Development

Work Experience

Fresher

City

Mohali

State/Province

Punjab

Country

India

Zip/Postal Code

160055

Data Analyst (Intern)

We are excited to welcome a motivated and detail-oriented Data Analyst Intern to join our dynamic team. This internship is designed for individuals eager to gain hands-on experience in the field of data analytics. The successful candidate will play a vital role in gathering,organizing, and analyzing data from various sources, contributing to the generation of valuable insights that drive informed decision-making. As an intern, you will receive mentorship and training opportunities to develop essential skills in data analytics.

Roles/ Responsibilities:
 Using automated tools to extract data from primary and secondary sources.
 Removing corrupted data and fixing coding errors and related problems.
 Developing and maintaining databases, and data systems  reorganizing data in a readable format.
 Performing analysis to. assess the quality and meaning of data.
 Filter Data by reviewing reports and performance indicators to identify and correct code problems.
 Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction.
 Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.
 Analyzing local, national, and global trends that impact both the organization and the industry.
 Preparing reports for the management stating trends, patterns, and predictions using relevant data.
 Work closely with programmers, engineers, and management to identify process improvement opportunities.
 Proficiency with a deep learning framework such as TensorFlow or Keras.
 Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas.

Requirements
 Bachelors degree in a relevant field such as Statistics, Computer Science, or a related discipline.
 Proven experience as a Data Analyst or in a similar role.
 Strong proficiency in data analysis tools and programming languages (e.g., SQL, Python, R).
 Excellent problem-solving skills and attention to detail.
 Strong math skills (e.g. statistics, algebra and Probability).
 Effective communication skills to convey complex findings to non-technical stakeholders.
 Ability to work collaboratively in a fast-paced environment,",Other Punjab,"Data Analytics,Database Management,Data Analysis,Statistical Tools,Pattern Recognition,Report Preparation,Python,Machine Learning,SQL,R,Statistics,Algebra,Probability,Communication Skills,Automated Tools,TensorFlow,Keras",Recruiter DetailseNest Technologies Pvt LtdOther Punjabhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-intern-permanent/enest-technologies-pvt-ltd/14576648,4 days ago,2024-03-27,"(0, 4)",hiring
Winged Recruitment,Regular,Recruiter DetailsWinged RecruitmentAll Indiahidden_emailhidden_mobile,"Delve into the dynamic world of data analysis with an exclusive internship opportunity offered by Winged Recruitment. Our innovative blend of remote work culture and cutting-edge AI technology positions us as leaders in the recruitment landscape, providing a gateway to unlock your career aspirations. In partnership with a prestigious Management Consulting firm in Germany, we're seeking ambitious talents ready to redefine the landscape of data analysis.

Role Overview:

Tailored for individuals passionate about data analysis and equipped with problem-solving skills, this internship offers an immersive introduction to the field. Under the guidance of industry experts, you'll tackle diverse data analysis projects, exploring concepts like data visualization, statistical analysis, predictive modeling, and data mining. Expect hands-on experience in uncovering insights and informing decisions, all from the comfort of your own space.

Opportunity Snapshot:
 Location: Fully Remote
 Schedule. Flexible Internship

Who We're Searching For:
 Aspiring data analysts keen on unraveling complex datasets and extracting meaningful insights
 Analytical thinkers adept at translating data into actionable recommendations
 Effective communicators who thrive in collaborative team settings
 Detail-oriented individuals excelling in fast-paced, analytical environments
 Enthusiastic learners committed to honing their skills in data analysis
 Proficiency in data analysis tools and programming languages (e.g., Python, R, SQL) highly valued
 Familiarity with statistical techniques, data visualization, and database management advantageous

Your Contribution:
 Contribute to data collection, cleaning, and analysis processes
 Collaborate with the data analysis team to develop analytical models and insights
 Aid in interpreting data trends and patterns to inform strategic decision-making
 Bring fresh perspectives and innovative solutions to tackle data challenges
 Foster a collaborative team environment focused on excellence in data analysis
 Assist in documenting and presenting analysis results and recommendations

Why Choose This Path 

Winged Recruitment serves as your catalyst for career growth, aligning you with roles promising substantial advancement in data analysis. This internship provides an exceptional platform for learning and establishing your presence in the data analysis industry, mentored by top-tier management consulting experts in Germany.

Application Note:

Applying through Winged Recruitment grants access to an extraordinary opportunity with our esteemed client. Committed to GDPR compliance, we handle your information with the utmost respect for privacy and security. By submitting your application, you consent to sharing your resume with our client for the internship selection process.

Embark on your data analysis journey with this unparalleled internship. Apply now and pave the way for your future in data analysis,",All India,"Python,R,SQL,Data Visualization,Database Management,Statistical Techniques",Recruiter DetailsWinged RecruitmentAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-intern-remote-internship-data-analysis-permanent/winged-recruitment/14580607,Hot2 days ago,2024-03-29,"(0, 4)",Actively hiring
